station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Baker Street,1,42176.89,658.2,39.83,31866.7,0.0207,Bakerloo/H&C and Circle/Jubilee/Metropolitan
Hampstead,2/3,5999.39,179.0,10.83,8666.7,0.0207,Northern
Roding Valley,4,305.93,27.6,1.67,1333.3,0.0207,Central
Finchley Road,2,12897.23,426.2,25.83,20666.7,0.0206,Jubilee/Metropolitan
Whitechapel,2,30979.51,515.2,31.25,25000.0,0.0206,District/Elizabeth Line/H&C and Circle/LO Windrush
Gloucester Road,1,19834.32,419.7,25.67,20533.3,0.0204,District/H&C and Circle/Piccadilly
Hampstead Heath,2,5596.25,79.6,4.92,3933.3,0.0202,LO Mildmay
Kentish Town West,2,4383.35,78.6,4.92,3933.3,0.02,LO Mildmay
Latimer Road,2,3951.08,94.6,6.0,4800.0,0.0197,H&C and Circle
South Kensington,1,44265.42,404.0,25.58,20466.7,0.0197,District/H&C and Circle/Piccadilly
Ealing Common,3,3217.48,128.8,8.33,6666.7,0.0193,District/Piccadilly
Fairlop,4,1706.57,84.9,5.5,4400.0,0.0193,Central
Heron Quays,2,8535.41,149.2,9.67,7733.3,0.0193,DLR
Moor Park,6/7,1550.41,93.3,6.08,4866.7,0.0192,Metropolitan
Rotherhithe,2,2697.13,122.3,8.0,6400.0,0.0191,LO Windrush
Boston Manor,4,2310.37,90.1,6.0,4800.0,0.0188,Piccadilly
Ruislip Manor,6,2433.97,115.5,7.67,6133.3,0.0188,Metropolitan/Piccadilly
Hoxton,1/2,5729.27,119.5,8.0,6400.0,0.0187,LO Windrush
Wapping,2,3606.3,120.0,8.0,6400.0,0.0187,LO Windrush
Caledonian Road & Barnsbury,2,3370.27,74.5,5.0,4000.0,0.0186,LO Mildmay
Kennington,2,7877.77,306.7,20.75,16600.0,0.0185,Northern
Cutty Sark,2/3,8687.5,146.3,9.92,7933.3,0.0184,DLR
Star Lane,2/3,2943.22,49.1,3.33,2666.7,0.0184,DLR
Northwick Park,4,5816.13,160.6,11.0,8800.0,0.0183,Metropolitan
King George V,3,2453.92,96.8,6.67,5333.3,0.0182,DLR
West Brompton,2,8463.83,142.9,9.83,7866.7,0.0182,District/LO Mildmay
Caledonian Road,2,5662.02,167.5,11.58,9266.7,0.0181,Piccadilly
Queensway,1,8614.56,196.2,13.58,10866.7,0.0181,Central
West Ham,2/3,9587.91,414.5,28.67,22933.3,0.0181,DLR/District/H&C and Circle/Jubilee
Blackwall,2,2353.29,92.2,6.67,5333.3,0.0173,DLR
Mudchute,2,2695.11,134.0,9.75,7800.0,0.0172,DLR
Island Gardens,2,3801.63,134.2,9.83,7866.7,0.0171,DLR
Brondesbury Park,2,2141.67,65.9,4.92,3933.3,0.0168,LO Mildmay
Park Royal,3,2718.12,69.1,5.17,4133.3,0.0167,Piccadilly
Ruislip,6,2481.24,102.8,7.75,6200.0,0.0166,Metropolitan/Piccadilly
Brent Cross,3,3337.57,130.2,9.92,7933.3,0.0164,Northern
Russell Square,1,14599.58,147.6,11.67,9333.3,0.0158,Piccadilly
St. James's Park,1,19374.31,165.6,13.75,11000.0,0.0151,District/H&C and Circle
South Hampstead,2,979.99,23.9,2.0,1600.0,0.0149,LO Lioness
Pudding Mill Lane,2/3,2378.0,77.0,6.58,5266.7,0.0146,DLR
Elverson Road,2/3,2370.59,109.7,9.58,7666.7,0.0143,DLR
Tottenham Court Road,1,94897.54,392.5,35.42,28333.3,0.0139,Central/Elizabeth Line/Northern
Upminster Bridge,6,1405.38,70.3,6.33,5066.7,0.0139,District
All Saints,2,2866.36,73.4,6.67,5333.3,0.0138,DLR
Borough,1,7036.83,120.2,11.08,8866.7,0.0136,Northern
Moorgate,1,45089.49,259.9,24.92,19933.3,0.013,H&C and Circle/Metropolitan/Northern
Holland Park,2,4764.97,140.2,13.58,10866.7,0.0129,Central
Stratford High Street,2/3,2151.86,33.9,3.33,2666.7,0.0127,DLR
Marble Arch,1,14310.94,137.0,13.58,10866.7,0.0126,Central
Bank and Monument,1,85478.08,487.6,48.75,39000.0,0.0125,Central/DLR/District/H&C and Circle/Northern/Waterloo & City
Lambeth North,1,4412.57,89.5,9.5,7600.0,0.0118,Bakerloo
Royal Albert,3,2302.53,62.7,6.67,5333.3,0.0118,DLR
Bethnal Green LO,2,2558.57,44.7,4.92,3933.3,0.0114,LO Weaver
Lancaster Gate,1,4358.29,117.2,13.58,10866.7,0.0108,Central
Embankment,1,29718.99,292.9,34.08,27266.7,0.0107,Bakerloo/District/H&C and Circle/Northern
Shoreditch High Street,1,10583.66,66.7,8.0,6400.0,0.0104,LO Windrush
North Ealing,3,1076.81,41.9,5.08,4066.7,0.0103,Piccadilly
Ickenham,6,1550.13,63.2,7.83,6266.7,0.0101,Metropolitan/Piccadilly
Great Portland Street,1,11183.3,110.1,13.83,11066.7,0.01,H&C and Circle/Metropolitan
Prince Regent,3,2752.57,52.1,6.67,5333.3,0.0098,DLR
Bond Street,1,70333.72,295.5,39.33,31466.7,0.0094,Central/Elizabeth Line/Jubilee
Knightsbridge,1,21733.96,84.1,12.0,9600.0,0.0088,Piccadilly
Oxford Circus,1,84335.69,285.4,40.92,32733.3,0.0087,Bakerloo/Central/Victoria
Barbican,1,9993.65,95.0,13.75,11000.0,0.0086,H&C and Circle/Metropolitan
Cyprus,3,3920.08,44.6,6.67,5333.3,0.0084,DLR
Holborn,1,37340.55,155.9,25.25,20200.0,0.0077,Central/Piccadilly
West India Quay,2,4034.87,57.1,9.75,7800.0,0.0073,DLR
Mornington Crescent,2,5141.53,61.8,10.75,8600.0,0.0072,Northern
Chancery Lane,1,17940.9,75.5,13.5,10800.0,0.007,Central
St. Paul's,1,17697.91,74.8,13.5,10800.0,0.0069,Central
Warren Street,1,27076.78,141.1,28.5,22800.0,0.0062,Northern/Victoria
Poplar,2,3172.84,60.6,13.0,10400.0,0.0058,DLR
Beckton Park,3,856.02,30.5,6.67,5333.3,0.0057,DLR
Piccadilly Circus,1,43302.66,99.4,21.67,17333.3,0.0057,Bakerloo/Piccadilly
Westminster,1,30915.06,126.1,28.5,22800.0,0.0055,District/H&C and Circle/Jubilee
Goodge Street,1,10024.65,45.2,10.75,8600.0,0.0053,Northern
Green Park,1,51295.03,181.0,44.25,35400.0,0.0051,Jubilee/Piccadilly/Victoria
Covent Garden,1,19205.47,44.0,11.83,9466.7,0.0047,Piccadilly
Leicester Square,1,40043.63,84.7,22.58,18066.7,0.0047,Northern/Piccadilly
Regent's Park,1,3903.39,30.7,9.67,7733.3,0.004,Bakerloo
Mansion House,1,8818.44,38.6,13.67,10933.3,0.0035,District/H&C and Circle
Edgware Road (Bak),1,2596.48,26.6,9.67,7733.3,0.0034,Bakerloo
Temple,1,15469.73,33.4,13.67,10933.3,0.0031,District/H&C and Circle
Hyde Park Corner,1,5294.7,24.7,11.83,9466.7,0.0026,Piccadilly
Paddington NR,1,8859.15,98.0,0.0,0.0,0,Elizabeth Line
