station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Wembley Park,4,25824.08,811.1,20.67,16533.3,0.0491,Jubilee/Metropolitan
Hammersmith (DIS),2,38906.19,713.8,18.25,14600.0,0.0489,District/Piccadilly
Dagenham Heathway,5,8274.82,298.1,7.67,6133.3,0.0486,District
Leyton,3,14441.14,521.5,13.42,10733.3,0.0486,Central
Fulham Broadway,2,11924.12,287.6,7.42,5933.3,0.0485,District
Kew Gardens,3/4,5321.72,214.9,5.58,4466.7,0.0481,District/LO Mildmay
Debden,6,3556.94,148.8,3.92,3133.3,0.0475,Central
Willesden Green,2/3,9432.83,436.2,11.5,9200.0,0.0474,Jubilee
Langley,CPC,2897.82,88.4,2.33,1866.7,0.0473,Elizabeth Line
Westbourne Park,2,6688.7,227.1,6.0,4800.0,0.0473,H&C and Circle
South Tottenham,3,3181.17,74.8,2.0,1600.0,0.0467,LO Suffragette
Putney Bridge,2,8285.39,273.3,7.33,5866.7,0.0466,District
Ladbroke Grove,2,9167.41,223.3,6.0,4800.0,0.0465,H&C and Circle
Euston LU,1,53190.19,1448.9,39.33,31466.7,0.046,Northern/Victoria
Farringdon,1,80080.86,911.6,24.92,19933.3,0.0457,Elizabeth Line/H&C and Circle/Metropolitan
Surrey Quays,2,7403.91,291.9,8.0,6400.0,0.0456,LO Windrush
Highgate,3,7926.37,394.5,10.83,8666.7,0.0455,Northern
Euston Square,1,21842.18,502.7,13.83,11066.7,0.0454,H&C and Circle/Metropolitan
Harringay Green Lanes,3,3106.04,72.3,2.0,1600.0,0.0452,LO Suffragette
Leytonstone,3/4,11969.67,485.1,13.42,10733.3,0.0452,Central
Buckhurst Hill,5,3759.77,228.3,6.33,5066.7,0.0451,Central
Greenwich,2/3,7231.84,350.9,9.75,7800.0,0.045,DLR
Northfields,3,4295.73,223.8,6.25,5000.0,0.0448,Piccadilly
Woodgrange Park,3/4,1982.01,70.8,2.0,1600.0,0.0443,LO Suffragette
White Hart Lane,3,3172.59,102.8,2.92,2333.3,0.0441,LO Weaver
Seven Sisters,3,20581.54,703.8,20.08,16066.7,0.0438,LO Weaver/Victoria
Colliers Wood,3,9186.03,473.1,13.58,10866.7,0.0435,Northern
Gunnersbury,3,7622.83,194.1,5.58,4466.7,0.0435,District/LO Mildmay
Canning Town,2/3,19395.29,698.9,20.17,16133.3,0.0433,DLR/Jubilee
Bethnal Green LU,2,16217.95,464.4,13.5,10800.0,0.043,Central
Hackney Wick,2,5591.82,167.5,4.92,3933.3,0.0426,LO Mildmay
Finchley Central,4,8710.43,382.1,11.25,9000.0,0.0425,Northern
Limehouse DLR,2,8739.83,452.8,13.33,10666.7,0.0425,DLR
Walthamstow Queen's Road,3,2395.0,68.0,2.0,1600.0,0.0425,LO Suffragette
Hendon Central,3/4,9408.31,334.9,9.92,7933.3,0.0422,Northern
High Street Kensington,1,16558.17,204.8,6.08,4866.7,0.0421,District/H&C and Circle
Clapham Common,2,11677.48,456.0,13.67,10933.3,0.0417,Northern
Hounslow East,4,5236.86,200.1,6.0,4800.0,0.0417,Piccadilly
Imperial Wharf,2,6276.98,83.5,2.5,2000.0,0.0417,LO Mildmay
South Ruislip,5,2776.11,150.0,4.5,3600.0,0.0417,Central
Manor House,2/3,9584.42,382.6,11.58,9266.7,0.0413,Piccadilly
Shepherd's Bush Market,2,5574.09,198.5,6.0,4800.0,0.0413,H&C and Circle
Stonebridge Park,3,4648.43,181.1,5.5,4400.0,0.0412,Bakerloo/LO Lioness
Southgate,4,6614.11,277.1,8.5,6800.0,0.0407,Piccadilly
Croxley,7,1718.55,113.6,3.5,2800.0,0.0406,Metropolitan
Old Street,1,30142.63,359.4,11.17,8933.3,0.0402,Northern
Woodside Park,4,5788.32,277.9,8.67,6933.3,0.0401,Northern
Wood Lane,2,8341.21,192.2,6.0,4800.0,0.04,H&C and Circle
Taplow,CPC,1459.89,74.2,2.33,1866.7,0.0398,Elizabeth Line
Hounslow Central,4,5215.04,192.2,6.08,4866.7,0.0395,Piccadilly
Brondesbury,2,4087.91,153.6,4.92,3933.3,0.039,LO Mildmay
Heathrow Terminals 123 LU,6,9164.18,140.1,4.5,3600.0,0.0389,Piccadilly
Rayners Lane,5,5775.75,269.1,8.67,6933.3,0.0388,Metropolitan/Piccadilly
Hanger Lane,3,4928.29,175.4,5.67,4533.3,0.0387,Central
North Acton,2/3,10217.13,339.9,11.0,8800.0,0.0386,Central
Bruce Grove,3,2197.03,89.5,2.92,2333.3,0.0383,LO Weaver
Northwood,6,3884.9,186.5,6.08,4866.7,0.0383,Metropolitan
East India,2/3,7521.42,201.8,6.67,5333.3,0.0378,DLR
