transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/25/2022 08:00:00 AM,subway,14,"23 St (R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,24,0,40.741302,-73.98934,POINT (-73.98934 40.741302)
02/25/2022 08:00:00 AM,subway,31,25 St (R),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,25,0,40.660397,-73.99809,POINT (-73.99809 40.660397)
02/25/2022 09:00:00 PM,subway,177,Clinton-Washington Avs (C),Brooklyn,metrocard,Metrocard - Fair Fare,1,0,40.68326,-73.965836,POINT (-73.965836 40.68326)
02/25/2022 07:00:00 AM,subway,150,155 St (C),Manhattan,metrocard,Metrocard - Seniors & Disability,2,0,40.830517,-73.94151,POINT (-73.94151 40.830517)
02/25/2022 11:00:00 AM,subway,257,Sutphin Blvd (F),Queens,metrocard,Metrocard - Unlimited 30-Day,18,0,40.70546,-73.81071,POINT (-73.81071 40.70546)
02/25/2022 09:00:00 AM,subway,69,25 Av (D),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,14,0,40.597706,-73.98683,POINT (-73.98683 40.597706)
02/25/2022 10:00:00 PM,subway,191,88 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,1,0,40.679844,-73.85147,POINT (-73.85147 40.679844)
02/25/2022 05:00:00 PM,subway,218,"167 St (B,D)",Bronx,metrocard,Metrocard - Seniors & Disability,10,1,40.83377,-73.91844,POINT (-73.91844 40.83377)
02/25/2022 05:00:00 AM,subway,387,170 St (4),Bronx,metrocard,Metrocard - Fair Fare,23,0,40.840076,-73.91779,POINT (-73.91779 40.840076)
02/25/2022 12:00:00 AM,subway,259,"Kew Gardens-Union Tpke (E,F)",Queens,metrocard,Metrocard - Unlimited 7-Day,12,0,40.71444,-73.83101,POINT (-73.83101 40.71444)
02/25/2022 02:00:00 PM,subway,200,"Beach 90 St (A,S)",Queens,metrocard,Metrocard - Unlimited 7-Day,1,0,40.588036,-73.813644,POINT (-73.813644 40.588036)
02/25/2022 12:00:00 AM,subway,162,"50 St (C,E)",Manhattan,metrocard,Metrocard - Seniors & Disability,3,0,40.762455,-73.985985,POINT (-73.985985 40.762455)
02/25/2022 08:00:00 PM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Fair Fare,8,0,40.70682,-74.0091,POINT (-74.0091 40.70682)
02/25/2022 10:00:00 AM,subway,636,"Jay St-MetroTech (A,C,F,R)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,48,0,40.692337,-73.98594,POINT (-73.98594 40.692337)
02/25/2022 12:00:00 PM,subway,62,55 St (D),Brooklyn,metrocard,Metrocard - Fair Fare,4,0,40.631435,-73.995476,POINT (-73.995476 40.631435)
02/25/2022 01:00:00 PM,subway,253,Neptune Av (F),Brooklyn,metrocard,Metrocard - Students,3,0,40.581013,-73.97457,POINT (-73.97457 40.581013)
02/25/2022 11:00:00 PM,subway,617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,76,0,40.68446,-73.97689,POINT (-73.97689 40.68446)
02/25/2022 08:00:00 PM,subway,95,"Gates Av (J,Z)",Brooklyn,metrocard,Metrocard - Students,3,0,40.68963,-73.92227,POINT (-73.92227 40.68963)
02/25/2022 09:00:00 PM,subway,440,"116 St (2,3)",Manhattan,metrocard,Metrocard - Full Fare,23,3,40.802097,-73.94962,POINT (-73.94962 40.802097)
02/25/2022 03:00:00 PM,subway,200,"Beach 90 St (A,S)",Queens,metrocard,Metrocard - Full Fare,2,0,40.588036,-73.813644,POINT (-73.813644 40.588036)
02/25/2022 05:00:00 AM,subway,131,Bushwick Av-Aberdeen St (L),Brooklyn,metrocard,Metrocard - Other,3,0,40.68283,-73.90525,POINT (-73.90525 40.68283)
