line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
District,EB,Blackfriars LU,Mansion House,357.0,18.0,64.0,110.0,64.0,58.0,43.0
District,EB,Mansion House,Cannon Street LU,357.0,17.0,64.0,110.0,64.0,58.0,44.0
District,EB,Cannon Street LU,Bank and Monument,357.0,17.0,64.0,109.0,64.0,58.0,45.0
District,EB,Bank and Monument,Tower Hill,357.0,17.0,63.0,110.0,64.0,58.0,45.0
District,EB,Tower Hill,Aldgate East,289.0,14.0,55.0,92.0,55.0,40.0,33.0
District,EB,Aldgate East,Whitechapel,289.0,13.0,55.0,92.0,54.0,41.0,34.0
District,EB,Whitechapel,Stepney Green,289.0,12.0,55.0,92.0,54.0,42.0,34.0
District,EB,Stepney Green,Mile End,289.0,11.0,55.0,92.0,54.0,42.0,35.0
District,EB,Mile End,Bow Road,289.0,11.0,55.0,92.0,54.0,42.0,35.0
District,EB,Bow Road,Bromley-by-Bow,289.0,10.0,55.0,93.0,53.0,43.0,35.0
District,EB,Bromley-by-Bow,West Ham,289.0,10.0,55.0,92.0,54.0,42.0,36.0
District,EB,West Ham,Plaistow,289.0,10.0,54.0,93.0,53.0,43.0,36.0
District,EB,Plaistow,Upton Park,289.0,9.0,55.0,92.0,53.0,43.0,37.0
District,EB,Upton Park,East Ham,289.0,9.0,54.0,93.0,53.0,43.0,37.0
District,EB,East Ham,Barking,289.0,8.0,55.0,93.0,52.0,44.0,37.0
District,EB,Barking,Upney,243.0,7.0,45.0,76.0,43.0,44.0,28.0
District,EB,Upney,Becontree,243.0,6.0,46.0,75.0,44.0,43.0,29.0
District,EB,Becontree,Dagenham Heathway,243.0,6.0,45.0,76.0,43.0,44.0,29.0
District,EB,Dagenham Heathway,Dagenham East,243.0,6.0,45.0,75.0,44.0,43.0,30.0
District,EB,Dagenham East,Elm Park,231.0,6.0,37.0,76.0,38.0,44.0,30.0
District,EB,Elm Park,Hornchurch,231.0,5.0,38.0,75.0,39.0,43.0,31.0
District,EB,Hornchurch,Upminster Bridge,231.0,5.0,37.0,76.0,38.0,44.0,31.0
District,EB,Upminster Bridge,Upminster,231.0,5.0,37.0,76.0,37.0,45.0,31.0
District,WB,Upminster,Upminster Bridge,231.0,29.0,38.0,75.0,41.0,35.0,13.0
District,WB,Upminster Bridge,Hornchurch,231.0,28.0,39.0,74.0,41.0,36.0,13.0
District,WB,Hornchurch,Elm Park,231.0,28.0,38.0,75.0,41.0,36.0,13.0
District,WB,Elm Park,Dagenham East,231.0,28.0,39.0,75.0,40.0,37.0,12.0
District,WB,Dagenham East,Dagenham Heathway,243.0,27.0,46.0,75.0,46.0,36.0,13.0
District,WB,Dagenham Heathway,Becontree,243.0,26.0,47.0,74.0,46.0,37.0,13.0
District,WB,Becontree,Upney,243.0,26.0,46.0,75.0,46.0,36.0,14.0
District,WB,Upney,Barking,243.0,26.0,46.0,74.0,46.0,37.0,14.0
District,WB,Barking,East Ham,289.0,25.0,54.0,92.0,56.0,38.0,24.0
District,WB,East Ham,Upton Park,289.0,23.0,55.0,92.0,56.0,38.0,25.0
District,WB,Upton Park,Plaistow,289.0,23.0,55.0,92.0,56.0,38.0,25.0
District,WB,Plaistow,West Ham,289.0,23.0,55.0,91.0,56.0,39.0,25.0
District,WB,West Ham,Bromley-by-Bow,289.0,22.0,55.0,91.0,56.0,39.0,26.0
District,WB,Bromley-by-Bow,Bow Road,289.0,20.0,56.0,91.0,57.0,39.0,26.0
District,WB,Bow Road,Mile End,289.0,20.0,55.0,91.0,57.0,39.0,27.0
District,WB,Mile End,Stepney Green,289.0,20.0,55.0,91.0,57.0,39.0,27.0
District,WB,Stepney Green,Whitechapel,289.0,19.0,55.0,92.0,56.0,40.0,27.0
District,WB,Whitechapel,Aldgate East,289.0,18.0,55.0,92.0,56.0,40.0,28.0
District,WB,Aldgate East,Tower Hill,289.0,18.0,55.0,91.0,56.0,41.0,28.0
District,WB,Tower Hill,Bank and Monument,357.0,19.0,63.0,110.0,66.0,57.0,42.0
District,WB,Bank and Monument,Cannon Street LU,357.0,18.0,64.0,110.0,65.0,58.0,42.0
District,WB,Cannon Street LU,Mansion House,357.0,17.0,64.0,110.0,66.0,58.0,42.0
District,WB,Mansion House,Blackfriars LU,357.0,17.0,64.0,110.0,65.0,58.0,43.0
District,WB,Blackfriars LU,Temple,357.0,16.0,64.0,110.0,65.0,59.0,43.0
District,WB,Temple,Embankment,357.0,15.0,64.0,110.0,65.0,59.0,44.0
District,WB,Embankment,Westminster,357.0,15.0,64.0,109.0,66.0,58.0,45.0
District,WB,Westminster,St. James's Park,357.0,15.0,64.0,109.0,66.0,58.0,45.0
District,WB,St. James's Park,Victoria LU,357.0,14.0,64.0,110.0,65.0,59.0,45.0
District,WB,Victoria LU,Sloane Square,357.0,13.0,64.0,110.0,65.0,59.0,46.0
District,WB,Sloane Square,South Kensington,357.0,13.0,63.0,110.0,65.0,60.0,46.0
District,WB,South Kensington,Gloucester Road,357.0,12.0,63.0,110.0,65.0,60.0,47.0
District,WB,Gloucester Road,Earl's Court,357.0,12.0,63.0,110.0,64.0,60.0,48.0
District,WB,Edgware Road (DIS),Paddington TfL,111.0,7.0,18.0,36.0,18.0,18.0,14.0
District,WB,Paddington TfL,Bayswater,111.0,7.0,18.0,36.0,18.0,18.0,14.0
District,WB,Bayswater,Notting Hill Gate,111.0,7.0,18.0,36.0,18.0,18.0,14.0
District,WB,Notting Hill Gate,High Street Kensington,111.0,6.0,18.0,36.0,19.0,17.0,15.0
District,WB,High Street Kensington,Earl's Court,134.0,19.0,19.0,36.0,18.0,23.0,19.0
District,WB,Earl's Court,Kensington (Olympia),2.0,0.0,0.0,0.0,0.0,2.0,0.0
District,WB,Earl's Court,West Brompton,244.0,17.0,42.0,72.0,46.0,38.0,29.0
District,WB,West Brompton,Fulham Broadway,244.0,16.0,43.0,72.0,45.0,39.0,29.0
District,WB,Fulham Broadway,Parsons Green,244.0,15.0,43.0,72.0,46.0,38.0,30.0
District,WB,Parsons Green,Putney Bridge,248.0,19.0,43.0,72.0,45.0,39.0,30.0
District,WB,Putney Bridge,East Putney,248.0,19.0,43.0,72.0,45.0,39.0,30.0
District,WB,East Putney,Southfields,248.0,18.0,43.0,72.0,45.0,39.0,31.0
District,WB,Southfields,Wimbledon Park,248.0,18.0,43.0,72.0,44.0,40.0,31.0
District,WB,Wimbledon Park,Wimbledon,248.0,17.0,43.0,72.0,45.0,39.0,32.0
District,WB,Earl's Court,West Kensington,247.0,14.0,40.0,74.0,37.0,42.0,40.0
District,WB,West Kensington,Barons Court,247.0,14.0,39.0,75.0,37.0,42.0,40.0
District,WB,Barons Court,Hammersmith (DIS),251.0,17.0,39.0,75.0,38.0,42.0,40.0
District,WB,Hammersmith (DIS),Ravenscourt Park,251.0,17.0,39.0,75.0,37.0,42.0,41.0
District,WB,Ravenscourt Park,Stamford Brook,251.0,16.0,40.0,75.0,37.0,42.0,41.0
District,WB,Stamford Brook,Turnham Green,251.0,16.0,39.0,75.0,38.0,41.0,42.0
District,WB,Turnham Green,Gunnersbury,118.0,9.0,18.0,36.0,19.0,19.0,17.0
District,WB,Gunnersbury,Kew Gardens,118.0,9.0,18.0,36.0,19.0,19.0,17.0
District,WB,Kew Gardens,Richmond,118.0,9.0,18.0,36.0,19.0,19.0,17.0
District,WB,Turnham Green,Chiswick Park,133.0,7.0,20.0,40.0,18.0,23.0,25.0
District,WB,Chiswick Park,Acton Town,133.0,7.0,20.0,40.0,18.0,23.0,25.0
District,WB,Acton Town,Ealing Common,133.0,6.0,20.0,40.0,18.0,23.0,26.0
District,WB,Ealing Common,Ealing Broadway,141.0,12.0,20.0,40.0,18.0,23.0,28.0
DLR,IB,Woolwich Arsenal,King George V,242.0,21.0,40.0,71.0,40.0,37.0,33.0
DLR,IB,King George V,London City Airport,242.0,20.0,40.0,72.0,39.0,37.0,34.0
DLR,IB,London City Airport,Pontoon Dock,242.0,19.0,40.0,72.0,40.0,36.0,35.0
